Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8
-,Maya Sands,Missouri,So.,5-7,L,115,542
34,Jordan Hardy,Bucknell,Jr.,5-7,L,97,537
35,Dahlia Miller,Murray St.,Sr.,5-7,L/DS,96,534
-,Macall Peed,UC Santa Barbara,Sr.,5-7,L,121,534
37,Caty Cordano,Sacramento St.,Sr.,5-3,L,130,533
38,Ramsey Gary,Indiana,Fr.,5-7,L,122,530
39,Celianiz Cabranes,Tennessee St.,Fr.,-,L,108,529
-,Leah Green,Kansas City,Jr.,5-6,L/DS,111,529
41,Ashlyn Lovett,Ga. Southern,Jr.,5-8,DS,116,528
42,Marta Pecalli,Tulsa,Jr.,5-5,L,123,527
43,LonDynn Betts,Purdue Fort Wayne,So.,5-5,L,115,525
-,Darian Markham,New Mexico St.,Sr.,5-4,L/DS,115,525
45,Elena Scott,Louisville,Jr.,5-9,L/DS,117,523
46,Mallory Lipski,Fordham,Sr.,5-8,L,110,521
47,Hannah Baker,Sam Houston,Jr.,5-9,L/DS,112,520
48,Paige Lynn,South Alabama,Jr.,5-4,L/DS,114,518
49,Josie Schmitendorf,Eastern Ky.,Sr.,5-6,L,107,514
50,Tara DeSa,California,Sr.,5-5,L,115,513
51,Crew Hoffmeier,NIU,Jr.,5-6,L,111,511
-,Courtney Jackson,Arkansas,Jr.,5-8,L,127,511
53,Karli Wenzel,Western Ill.,Jr.,5-5,L/DS,121,510
54,Aleeyah Galdeira,North Texas,Sr.,5-6,L/DS,128,508
-,Bridget Javitch,American,Jr.,5-7,L/DS,115,508
56,Livy Kowalkowski,Georgia St.,Jr.,5-4,DS,104,507
